 239,  282,  519,  398,  452,  995,  688,  586,  459,  430,  909,  540,  616, 1273,  837, 1314, 1237, 1649, 1354, 1257,  693,  476, 1390, 1279, 1325, 2002, 1898,  782,  483,  207,  135,  158
 625,  874, 1031, 1852, 2265, 2983, 2463, 2716, 1278, 1585, 2366, 2451, 1854, 3046, 1954, 2854, 2389, 3591, 3392, 3181, 3191, 4119, 3966, 3931, 4570, 4584, 4365, 3550, 1426,  563,  294,  201
 479,  641,  828, 1931, 1902, 1904, 2126, 1675,  949, 1062, 3176, 1158,  597, 1959,  902, 1717, 1117, 1727, 1059, 1050, 1131, 1895, 2311, 1683, 1339, 2484, 1744, 1485,  827,  421,   91,  215
 162,  469,  368,  694, 1450, 1405, 3126, 1069,  217,  745, 1067,  946,  704, 1308,  750,  594, 3800, 1182, 1009,  758,  279,  196, 1732,  235,  305,  666,  575,  532,  305,  132,   83,  930
 176,  102,  279,  633, 1028, 1552, 1096,  897,  493, 1156, 2031, 1251,  362, 1812,  687, 1076, 1031,  898,  332,  680,  464, 1006,  609,  901, 1942, 2155, 1020, 3694,  721,  330,  246,  108
 163,  195,  675, 1418, 1457, 4528, 1856, 1185,   87,  805, 2074,  568,  316, 2350,  690, 1687,  796,  802,  444, 1241, 1523, 2323, 2094, 2150, 3196, 4951, 3577, 2225, 2727,  932,  593,  234
 452,  897, 1868, 2710, 2468, 3725, 3639, 2037,  330, 2841, 3232,  685, 1841, 2793, 1931, 2902, 1942, 2871, 2563, 1671, 2389, 3374, 4527, 4366, 5728, 7398, 6476, 4643, 2274, 1159,  688,  615
 623, 1739, 1190, 1634, 2127, 2689, 3138, 2181,  600,  702, 1406, 2395, 1224, 2033,  816, 2088, 1789, 2836, 2252, 2405, 2441, 3004, 3909, 3980, 4664, 4513, 4594, 3658, 1459,  593, 1711,  334
 160,  290,  230,  354,  652, 1119, 1025,  508,  568,  815, 2175,  727,  301, 1112,  429,  711,  348,  401,  374,  271,  207,  404,  908,  729, 1024, 1764, 1149, 1080,  511,  348, 2179,  101
 119,  497,  341,  432,  587,  466,  505,  401,  224,  368,  467,  378,  140,  277,  205,  154,   85,  269,  321,  352,  425,  698, 1181,  908,  949, 1092, 1540, 1212,  489,  664,  150,  296
 255,  227,  366, 1054, 1576, 1134, 1874, 1551,  990, 1645, 2705, 1665, 1453, 2397, 2084, 3057, 2340, 1428, 1246, 2849, 2070, 2939, 1301, 2564, 3429, 4998, 4089, 2071, 3266,  751,  497,  211
1049, 1810, 2893, 4604, 6363, 6063, 5871, 2672,  432, 2673, 5093, 2304, 2410, 4038, 2723, 4501, 2796, 2399, 2289, 2101, 3574, 5311, 4350, 5127, 9026, 9584, 8031, 5446, 3944, 2674, 1802,  760
 313,  636, 1566, 1824, 2050, 2778, 2206,  829,  245,  852, 1558,  348,  871,  817,  567, 1045, 1165,  893,  452,  330,  865, 1083, 1214, 1376, 2518, 3456, 2222, 1330,  514,  430,  573,  355
 178,  245,  549,  292,  489,  661,  559,  607,  257,  536, 1151,  944,  644, 1182, 1166,  529,  375,  393,  301,  391,  591, 1032, 1312,  635, 1422, 1040,  976,  682,  284,  288,  123,   72
  47,   44,  195,  241,  133,  288,  287,  123,  129,  368,  228,  178,  198,  736, 1428,  597,  278,  223,  308,  273,  283,  211,  139,  215,  683,  406,  215,  218,  254,  164,   85,   79
 212,  482,  665, 1169, 1222, 3334, 2215, 1385,  411, 1350, 2045, 1065, 1721, 1109, 1118, 1426, 1308,  942, 1486, 1598, 3099, 3376, 2571, 3338, 4230, 4475, 3794, 2462, 1484,  520,  220,   68
 861, 1083, 1436, 2332, 3201, 3402, 2985, 2924,  562, 1927, 2911, 2276, 3552, 2984, 3607, 4091, 3556, 2651, 2900, 2045, 4738, 6167, 2965, 4281, 7169, 7756, 6644, 4326, 2918, 1418,  663,  211
 456,  555,  745,  770,  951, 1102, 1072,  743,  233,  556, 1137,  779,  919, 1094,  971, 1058, 1166,  753, 2176,  571,  723, 1076,  317,  571, 1188, 1492,  989,  743,  754,  430,  174,  196
 132,  352,  213,  374,  930,  643,  738,  443,   57,  212,  266,  229,  690,  491,  609,  246, 1283,  278, 2324,  183,  522,  556,  409,  582, 1172, 1422, 1610,  340,  139,  231,  101,   67
 125,  339,  208,  320,  566,  465,  146,  375,  135,  215,  269,   95,  273,  208,  312,  168,  120,  302,  340,  225,  159,  310,  152,  117,  324,  651,  248,  382,  275,  123,  110,   33
 222,  598, 1185, 1422, 1803, 2336, 1836,  411,  264, 1126, 1500,  642,  961, 1173, 1412, 1307, 1379,  680, 1415,  633, 1224, 1341,  717, 1117, 2994, 3072, 2717, 1444,  943,  404,  234,  159
 210,  415,  863, 1223, 1668, 1912, 1842,  610,  125, 1032, 1655,  870, 1353, 1184, 1458, 1418, 1367,  851,  975,  539, 1541, 1572, 1488, 2637, 4118, 3962, 3173, 1563, 1096,  299,  265,  731
 145,  257,  342,  634,  699,  612,  815,  464,  151,  311,  771,  539, 1099,  749, 1477, 1723, 1514,  390, 1006, 1000, 1475, 2089, 1874, 1456, 2560, 2200, 1369, 1394,  892,  200,  134,  140
  44,   31,   43,   41,   98,   38,   28,   87,   45,  103,  110,   82,  191,   98,  301,  477,  339,  197,  269,  254,  680,  517,  279,  157,  191,  340,  998,  388,  147,   29,   27,   20
 112,  136,  172,  338,  463,  809,  640,  212,   96,  167,  320,  295,  355,  488,  546,  268,  219,  273,  425,  324,  482,  443,  281,  499,  718, 1158,  742,  255,  311,  134,  127,   65
 868,  411,  428,  708,  947,  950,  941,  469,  332,  976,  792,  680,  603,  627, 1984,  801,  843,  402,  704,  561,  640,  855,  492,  502, 1506, 1673, 1560,  887,  426,  262,  235,  132
 323,  455,  581,  897,  744,  894,  738,  287,  171,  464,  745,  726,  257,  513,  741,  726,  918,  440, 2744,  424,  369,  576,  461,  506, 1187,  905,  800,  490,  249,  129,   87,   43
 157,  232,  471,  545,  463,  447,  497,  213,   69,   98,  214,  214,  521,   45,  160,  286,  382,  155,  130,  174,  147,  400,  259,  576,  942,  524,  457,  137,   30,   45,   75,   22
  47,   63,  238,  324,  296,  143,  246,  171,   84,  100,  102,   76,  114,   60,   88,  161,  180,  138,   49,   83,  125,  241,  345,  462,  378,  451, 3626,  125,   14,   31,   24,   21
  65,   24,   57,   59,  158,   87,  100,   45,   40,   51,   64, 2181,  180,  256,  146,  128,  253,  115,   59,   56,  108,  254,  410,  383,  290,  330,  349,  149,   30,   29,   27,   11
  18,   56,   48,   63,  114,  101,  154,   76,   37,  490,  188,  106,  199,  227,  280,  115,  591,  115,  152,  129,  140,  269,  214,  152,  212,  209,  300,  131,   80,   75,   48,   13
  74,   61,   45,   44,   76,   35,   51,  456, 2227,   45,  181,  155,  244,  184,  193,   95,  245,  116,  224,  215,  186,  196,  108,   63,  133,  185,  183,  379,   96,   64,   86,   32
